;RO-Crate Term;SKG-IF Ontology Term;SKG-IF JSON-LD term;Type;Fixed values
ResearchObject (RO-Crate);;;;;
;schema:name;dcterms:title;titles;Property;
;schema:Dataset;fabio:Work;entity_type=product;Class;
;schema:Dataset;fabio:Dataset;product_type=research data;Class;
;ro:ResearchObject;;product_type=rocrate_ResearchObject;Class;extension
;schema:identifier (supposed to be @id);;local_identifier;Property;
;schema:identifier;datacite:hasIdentifier;identifiers;Property;
;;datacite:usesIdentifierScheme;scheme;Property;w3id (extension)
;;literal:hasLiteralValue;value;Property;ro-id/xxxx
;schema:author;pro:isRelatedToRoleInTime;contributions;Property;
;schema:contributor;pro:isRelatedToRoleInTime;contributions;Property;
;schema:publisher;pro:isRelatedToRoleInTime;contributions;Property;
;author/contributor/publisher @id;pro:isHeldBy;by;Property;
;;pro:withRole;role;Property;"author/contributor = author; publisher = publisher; creator = editor, copyrightHolder= rocrate_copyright-owner (extension)"
;;co:index;rank;Property;Auto-incremental
;schema:description;dcterms:abstract;abstract;Property;
;schema:hasPart;schema:hasPart;rocrate_hasPart;Property;extension
;schema:funding;frapo:isFundedBy;funding;Property;
;schema:studySubject;bido:holdsBibliometricDataInTime;topics;Property;
;schema:sdDatePublished;dcterms:issued;publication;Property;
;schema:dateCreated;dcterms:created;creation;Property;
;schema:dateModified;dcterms:modified;modified;Property;
Grant;;;;;
;@id;;local_identifier;Property;
;schema:Grant;frapo:Grant;entity_type=grant;Class;
;schema:funder;frapo:hasFundingAgency;funding_agency;Property;
;schema:name;foaf:name;name;Property;
;schema:title;dcterms:title;titles;Property;
;schema:identifier;datacite:hasIdentifier;identifiers;Property;
;;datacite:usesIdentifierScheme;scheme;Property;doi
;http://purl.org/ontology/bibo/doi;literal:hasLiteralValue;value;Property;
FundingAgency;;;;;
;@id;;local_identifier;Property;
;schema:Organization;frapo:FundingAgency;entity_type=funder;Class;
;schema:name;foaf:name;name;Property;
;schema:identifier;datacite:hasIdentifier;identifiers;Property;
;;datacite:usesIdentifierScheme;scheme;Property;doi
;http://purl.org/ontology/bibo/doi;literal:hasLiteralValue;value;Property;
Authors/contributors;;;;;
;@id;;local_identifier;Property;
;schema:Person;foaf:Person;entity_type=person;Class;
;schema:name;foaf:name;name;Property;
;schema:givenName;foaf:givenName;given_name;Property;
;schema:familyName;foaf:familyName;family_name;Property;
;schema:identifier;datacite:hasIdentifier;identifiers;Property;
;;datacite:usesIdentifierScheme;scheme;Property;orcid/email (extension)
; https://w3id.org/dingo#orcid or schema:email;literal:hasLiteralValue;value;Property;
Publisher/copyrightholder;;;;;
;@id;;local_identifier;Property;
;schema:Organization;foaf:Organization;entity_type=organisation;Class;
;schema:name;foaf:name;name;Property;
;schema:identifier;datacite:hasIdentifier;identifiers;Property;
;;datacite:usesIdentifierScheme;scheme;Property;ror/email (extension)
;schema:identifier or schema:email;literal:hasLiteralValue;value;Property;
Topic;;;;;
;@id;;local_identifier;Property;
;schema:DefinedTerm;fabio:SubjectTerm;entity_type=topic;Class;
;schema:name;skos:prefLabel;labels;Property;
;schema:identifier;datacite:hasIdentifier;identifiers;Property;
;;datacite:usesIdentifierScheme;scheme;Property;url
;;literal:hasLiteralValue;value;Property;
Data source;;;;;
;@id;;local_identifier;Property;local_identifier=https://doi.org/10.25504/FAIRsharing.d3c5fd
;schema:DataCatalog;dcat:DataService;entity_type=datasource;Class;
;schema:name;foaf:name;name;Property;name=ROHub
;schema:identifier;datacite:hasIdentifier;identifiers;Property;
;;datacite:usesIdentifierScheme;scheme;Property;doi
;;literal:hasLiteralValue;value;Property;value=10.25504/FAIRsharing.d3c5fd
;N/A;odrl:hasPolicy;policy;Property;
;N/A;odrl:action;about;;
;schema:target;odrl:target;target;;
;schema:mainEntityOfPage;foaf:page;documented_at;;
;schema:conformsTo;dcerms:conformsTo;persistent_identity_systems;;
;schema:requirements;dcterms:requires;pid_schemes;;
;schema:target;dcterms:coverage;for;;
;schema: hasDefinedTerm;dcat:theme;data_source_classification;;
;schema:target;dcterms:coverage;research_product_type;;
Other;;;;;
;schema:CreativeWork;skg:ResearchProduct;entity_type=product;Class;
;schema:ScholarlyArticle;fabio:ScholarlyWork;entity_type=literature;Class;
;schema:SoftwareSourceCode;fabio:Software;entity_type=research software;Class;
;schema:Event;fabio:ExpressionCollection;entity_type=venue;Class;
;schema:PublicationEvent;fabio:ExpressionCollection;entity_type=venue;Class;
